Time,DMSO,DMSO,DMSO,DMSO,DMSO,Ace,Ace,Ace,Ace,Ace,Dox,Dox,Dox,Dox,Dox,5FU,5FU,5FU,5FU,5FU
0,177.7538696,228.9274806,158.6259414,170.92602,132.0525953,343.0743203,218.9946135,132.0383604,160.3221968,174.539864,273.6669616,139.1204906,296.7293241,407.9165873,232.6315736,7.131824947,116.0221629,139.4778852,194.2662596,301.0208044
7.75,164.5792724,222.7954908,179.5061586,159.1508755,129.8364114,354.301162,221.4935551,155.2409739,164.883926,165.5516339,273.9819897,139.4317094,288.6464833,418.7519583,236.0218817,19.1867715,127.268472,139.2344272,200.7789121,282.9914893
15.5,165.9678116,224.6284597,172.3479232,178.3637443,129.9649032,368.0508576,221.2682999,139.1742143,147.4405629,144.4653279,260.5552587,135.3579205,281.8622364,419.4232094,229.7441015,9.144169442,106.1731923,128.5157595,190.6741067,276.8317005
23.25,156.9693178,225.8552224,164.124023,173.9101682,123.4810163,340.8410409,198.5736741,130.5490639,162.0588508,150.7155495,262.7890568,141.6634502,279.6372853,428.097863,231.9594729,14.66861849,108.836343,128.5665254,183.2216039,271.9040034
31,168.2915256,219.7863763,129.0708728,183.5727485,115.5993297,216.168838,135.3153384,129.1982803,111.8613222,100.3694439,134.3153051,67.80005224,195.3204338,190.4455348,145.7687127,17.69237721,94.25220906,95.18377182,119.0342603,155.7393811
38.75,284.4345986,411.4894643,206.7709046,304.5736743,199.848339,206.252605,197.0145436,227.4833853,189.0092365,161.4340161,153.3815887,79.91739627,296.6904329,251.4224088,159.5574666,27.2899339,136.134309,113.4248458,141.6512623,176.6959529
46.5,389.3611828,616.9541317,284.2780687,429.7576179,272.0325161,267.0652501,259.1301872,325.0880597,275.4570536,234.3890216,175.791328,74.51945732,367.1498355,321.007093,170.2741448,19.71285699,159.2332443,137.2189482,165.7999901,221.9321075
54.25,411.3506679,710.3702706,342.9857115,517.1178396,330.6776756,351.5671697,318.9821268,374.0015529,322.4276479,307.4084795,211.7212613,86.56814698,439.1203893,389.9894613,183.1355821,16.61077406,189.5698394,150.8553951,185.5977201,249.7297915
62,1125.210848,1379.20714,731.8753117,1685.255918,925.8626409,1251.174998,817.297244,1300.478618,857.3004712,789.8842406,595.7283696,149.8354687,1012.620602,1096.328338,387.5920006,35.38272871,743.6040111,438.9130219,748.0691251,836.1873662
69.75,1152.540802,1617.34885,764.0093931,1663.620349,1038.564956,1356.535643,885.6648449,1375.454405,924.8240001,820.8608626,707.1959749,199.6406845,1090.494561,1180.425928,398.833169,31.93452679,804.5352318,440.4432661,808.4063299,842.8745156
77.5,1178.064292,1681.600805,758.946023,1617.603966,1041.677839,1308.769917,912.6855849,1314.835945,859.2947926,807.4127306,741.3962831,190.9049448,1203.241212,1183.627846,418.1612337,35.35067976,798.9403655,419.6501407,764.7329523,792.6516716
85.25,1204.52015,1740.130323,781.2402087,1591.996043,1033.58429,1265.681905,882.0219051,1242.70899,835.4989212,796.087337,791.0391672,186.631203,1333.161949,1199.47091,403.7670443,36.51791283,785.8462016,414.5416538,750.7225248,756.6077472
93,102.0316762,72.18111205,92.23696491,75.67984941,62.57606436,133.8070766,74.58205021,67.27676029,67.59632477,63.41810669,75.96132711,33.34438802,102.6825949,85.58155393,60.70997868,32.3130867,53.58101411,62.86547656,74.05535176,74.64154946
100.75,102.2216667,105.8063035,102.7524684,103.4853301,91.62833807,147.1896073,89.24285129,96.92615704,82.23961955,81.44752409,81.95777172,33.81789318,120.6078158,99.30958401,65.12438458,24.57551111,67.25655759,60.5101313,72.36325964,63.25615091
108.5,99.25077376,93.5606672,83.48817122,91.93327824,68.77743709,134.4666812,78.72978777,76.85020807,67.2466283,56.54279996,73.42610946,28.1787776,108.8133714,96.87851189,51.34646736,24.37616247,52.79962065,32.0340614,62.42506678,50.6052091
